epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,386.986083984375,,
0,5,,,,,,145063.59375,237.68524169921875
0,5,,,715415.1875,561.4573364257812,,,
1,9,,,,,273.8438720703125,,
1,11,,,,,,131679.796875,236.43270874023438
1,11,,,160950.921875,255.311279296875,,,
2,14,,,,,172.90916442871094,,
2,17,,,,,,134666.875,236.62631225585938
2,17,,,178127.125,260.60455322265625,,,
3,19,,,,,275.8006591796875,,
3,23,,,,,,123138.78125,243.0551300048828
3,23,,,166257.6875,257.443359375,,,
4,24,,,,,225.44509887695312,,
4,29,,,,,307.94244384765625,,
4,29,,,,,,122530.0546875,245.79354858398438
4,29,,,163028.078125,257.68463134765625,,,
5,34,,,,,220.17564392089844,,
5,35,,,,,,165144.5,297.5544128417969
5,35,,,150444.046875,255.8125457763672,,,
6,39,,,,,326.6078186035156,,
6,41,,,,,,126539.5078125,259.1667175292969
6,41,,,169398.0625,284.8157043457031,,,
7,44,,,,,223.18589782714844,,
7,47,,,,,,159280.609375,270.1218566894531
7,47,,,144211.46875,254.543701171875,,,
8,49,,,,,255.6947479248047,,
8,53,,,,,,142677.765625,258.9345397949219
8,53,,,140675.828125,247.34002685546875,,,
9,54,,,,,233.9203338623047,,
9,59,,,,,291.3975524902344,,
9,59,,,,,,124864.296875,257.60107421875
9,59,,,149062.59375,253.37557983398438,,,
10,64,,,,,200.06739807128906,,
10,65,,,,,,137412.375,254.96510314941406
10,65,,,122147.875,233.36814880371094,,,
11,69,,,,,241.26278686523438,,
11,71,,,,,,151734.234375,265.90435791015625
11,71,,,140882.734375,240.9825897216797,,,
12,74,,,,,233.37332153320312,,
12,77,,,,,,161223.484375,303.43487548828125
12,77,,,155584.390625,262.3018493652344,,,
13,79,,,,,304.5100402832031,,
13,83,,,,,,131061.03125,249.78839111328125
13,83,,,173899.9375,272.5399475097656,,,
14,84,,,,,260.7254638671875,,
14,89,,,,,364.27044677734375,,
14,89,,,,,,126509.6953125,250.2177276611328
14,89,,,140669.828125,255.00746154785156,,,
15,94,,,,,228.9822998046875,,
15,95,,,,,,130326.7421875,249.27548217773438
15,95,,,147641.890625,253.42991638183594,,,
16,99,,,,,275.7938232421875,,
16,101,,,,,,121073.546875,249.176513671875
16,101,,,153676.65625,257.93701171875,,,
17,104,,,,,234.0935516357422,,
17,107,,,,,,130414.6796875,251.43641662597656
17,107,,,136450.28125,246.5553741455078,,,
18,109,,,,,186.29702758789062,,
18,113,,,,,,129382.1484375,267.25732421875
18,113,,,154907.140625,258.53179931640625,,,
19,114,,,,,324.26385498046875,,
19,119,,,,,274.8932800292969,,
19,119,,,,,,146897.65625,286.56378173828125
19,119,,,119403.359375,241.43138122558594,,,
20,124,,,,,188.05377197265625,,
20,125,,,,,,124054.1171875,247.76048278808594
20,125,,,143236.890625,257.5712890625,,,
21,129,,,,,205.62887573242188,,
21,131,,,,,,138248.453125,256.2023620605469
21,131,,,134268.84375,242.569091796875,,,
22,134,,,,,216.2852783203125,,
22,137,,,,,,121848.4296875,256.43402099609375
22,137,,,130172.4921875,240.00704956054688,,,
23,139,,,,,199.2903594970703,,
23,143,,,,,,144425.265625,289.4535217285156
23,143,,,141140.609375,241.2065887451172,,,
24,144,,,,,258.8630065917969,,
24,149,,,,,316.6322326660156,,
24,149,,,,,,117662.59375,249.48228454589844
24,149,,,139438.28125,255.2156219482422,,,
25,154,,,,,251.430419921875,,
25,155,,,,,,129531.3203125,247.48475646972656
25,155,,,115766.421875,235.7288360595703,,,
26,159,,,,,181.1637420654297,,
26,161,,,,,,122594.3203125,255.49559020996094
26,161,,,116741.78125,229.23239135742188,,,
27,164,,,,,332.54754638671875,,
27,167,,,,,,120526.8046875,239.74639892578125
27,167,,,165156.5,279.32086181640625,,,
28,169,,,,,216.40708923339844,,
28,173,,,,,,117155.1796875,240.08641052246094
28,173,,,129157.2265625,236.53359985351562,,,
29,174,,,,,263.6079406738281,,
29,179,,,,,207.1940460205078,,
29,179,,,,,,118071.2421875,237.91299438476562
29,179,,,126243.84375,233.0614013671875,,,
30,184,,,,,277.3965148925781,,
30,185,,,,,,113508.8671875,242.1868133544922
30,185,,,110427.703125,234.9197540283203,,,
31,189,,,,,309.783203125,,
31,191,,,,,,115129.6328125,238.96990966796875
31,191,,,157835.625,262.1488037109375,,,
32,194,,,,,278.010009765625,,
32,197,,,,,,126245.84375,246.543701171875
32,197,,,130559.3828125,232.61753845214844,,,
33,199,,,,,220.89572143554688,,
33,203,,,,,,114931.796875,230.42469787597656
33,203,,,129828.609375,240.99131774902344,,,
34,204,,,,,162.4853515625,,
34,209,,,,,212.04635620117188,,
34,209,,,,,,115960.3671875,234.58935546875
34,209,,,135628.921875,237.09446716308594,,,
35,214,,,,,253.19873046875,,
35,215,,,,,,111678.09375,227.340087890625
35,215,,,112973.0546875,215.77706909179688,,,
36,219,,,,,252.94302368164062,,
36,221,,,,,,143106.28125,250.34278869628906
36,221,,,130526.1796875,235.88873291015625,,,
37,224,,,,,224.2379913330078,,
37,227,,,,,,135920.3125,244.79563903808594
37,227,,,137456.21875,245.51742553710938,,,
38,229,,,,,245.49652099609375,,
38,233,,,,,,107365.1171875,239.95533752441406
38,233,,,119372.8203125,230.76611328125,,,
39,234,,,,,250.97808837890625,,
39,239,,,,,199.40931701660156,,
39,239,,,,,,102426.09375,217.95091247558594
39,239,,,101171.6796875,220.84933471679688,,,
40,244,,,,,219.94033813476562,,
40,245,,,,,,111266.4765625,222.0341339111328
40,245,,,113683.8828125,225.5830078125,,,
41,249,,,,,207.25698852539062,,
41,251,,,,,,109882.3046875,220.71649169921875
41,251,,,112247.2109375,219.19500732421875,,,
42,254,,,,,179.7608184814453,,
42,257,,,,,,96417.3203125,224.04803466796875
42,257,,,94067.859375,212.2408905029297,,,
43,259,,,,,196.3943328857422,,
43,263,,,,,,98547.6796875,225.19349670410156
43,263,,,147602.65625,252.09515380859375,,,
44,264,,,,,193.5951690673828,,
44,269,,,,,191.9988555908203,,
44,269,,,,,,94222.140625,211.94854736328125
44,269,,,112292.1796875,226.01185607910156,,,
45,274,,,,,219.9200897216797,,
45,275,,,,,,104263.09375,215.21360778808594
45,275,,,97885.5859375,213.7153778076172,,,
46,279,,,,,176.6936798095703,,
46,281,,,,,,132240.9375,276.9994812011719
46,281,,,131006.3671875,230.00067138671875,,,
47,284,,,,,193.14007568359375,,
47,287,,,,,,101768.828125,226.17408752441406
47,287,,,141455.734375,256.12811279296875,,,
48,289,,,,,255.478271484375,,
48,293,,,,,,121186.953125,263.9839172363281
48,293,,,89826.859375,205.27108764648438,,,
49,294,,,,,338.38446044921875,,
49,299,,,,,198.86724853515625,,
49,299,,,,,,104098.546875,229.50112915039062
49,299,,,108526.7890625,236.13345336914062,,,
50,300,104098.546875,229.50112915039062,,,,,
0,4,,,,,303.1531982421875,,
0,5,,,,,,109953.2421875,225.01528930664062
0,5,,,113758.390625,237.78451538085938,,,
1,9,,,,,202.12908935546875,,
1,11,,,,,,108071.6953125,220.38970947265625
1,11,,,121806.609375,230.73684692382812,,,
2,14,,,,,299.22650146484375,,
2,17,,,,,,120833.8828125,230.20770263671875
2,17,,,131695.34375,245.77401733398438,,,
3,19,,,,,268.43182373046875,,
3,23,,,,,,104308.875,212.87652587890625
3,23,,,99319.734375,223.52516174316406,,,
4,24,,,,,166.1145782470703,,
4,29,,,,,224.49334716796875,,
4,29,,,,,,126321.1796875,223.30947875976562
4,29,,,95639.9921875,212.95326232910156,,,
5,34,,,,,193.6166229248047,,
5,35,,,,,,179374.234375,277.2320556640625
5,35,,,135870.59375,249.3329620361328,,,
6,39,,,,,219.47552490234375,,
6,41,,,,,,106316.921875,212.315185546875
6,41,,,114295.3125,230.90176391601562,,,
7,44,,,,,275.79278564453125,,
7,47,,,,,,104216.46875,217.05459594726562
7,47,,,88155.828125,206.6481475830078,,,
8,49,,,,,268.2179870605469,,
8,53,,,,,,101830.0,229.54354858398438
8,53,,,101436.7890625,226.79037475585938,,,
9,54,,,,,229.05935668945312,,
9,59,,,,,216.5196990966797,,
9,59,,,,,,96768.4296875,206.22958374023438
9,59,,,95241.7109375,222.51344299316406,,,
10,64,,,,,238.815185546875,,
10,65,,,,,,147779.21875,261.5850830078125
10,65,,,123924.5234375,235.00140380859375,,,
11,69,,,,,218.7374267578125,,
11,71,,,,,,110417.78125,230.65748596191406
11,71,,,97262.421875,212.1735076904297,,,
12,74,,,,,158.38075256347656,,
12,77,,,,,,165831.203125,264.0559387207031
12,77,,,116526.3046875,230.26780700683594,,,
13,79,,,,,224.69631958007812,,
13,83,,,,,,119286.65625,260.1123352050781
13,83,,,122425.234375,232.3130645751953,,,
14,84,,,,,320.93585205078125,,
14,89,,,,,192.25946044921875,,
14,89,,,,,,103164.4921875,220.51368713378906
14,89,,,118694.7109375,244.84164428710938,,,
15,94,,,,,291.8314514160156,,
15,95,,,,,,147919.0625,245.09228515625
15,95,,,106835.40625,227.9077911376953,,,
16,99,,,,,221.38668823242188,,
16,101,,,,,,107503.9453125,219.10862731933594
16,101,,,96587.28125,213.5093536376953,,,
17,104,,,,,163.2518310546875,,
17,107,,,,,,106380.7265625,225.95323181152344
17,107,,,106309.9765625,223.83055114746094,,,
18,109,,,,,222.4820098876953,,
