epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
26,5075,,,0.9446874856948853,,0.20317389070987701,,
27,5099,,,,0.95703125,,,
27,5149,,,,0.94921875,,,
27,5199,,,,0.93359375,,,
27,5249,,,,0.9609375,,,
27,5263,,,,,,0.9622499942779541,0.16063332557678223
27,5263,,,0.945479154586792,,0.2049463540315628,,
28,5299,,,,0.953125,,,
28,5349,,,,0.9375,,,
28,5399,,,,0.9609375,,,
28,5449,,,,0.9375,,,
28,5451,,,,,,0.9592499732971191,0.15127326548099518
28,5451,,,0.9417916536331177,,0.20973864197731018,,
29,5499,,,,0.9296875,,,
29,5549,,,,0.95703125,,,
29,5599,,,,0.95703125,,,
29,5639,,,,,,0.9610833525657654,0.15681898593902588
29,5639,,,0.9469791650772095,,0.19682133197784424,,
30,5640,0.9634000062942505,0.15775413811206818,,,,,
